,M
0,-86
1,-98
2,-105
3,-97
4,-66
5,-79
6,-104
7,-87
8,-100
9,-90
10,-95
11,-108
12,-98
13,-99
14,-112
15,-111
16,-103
17,-96
18,-98
19,-103
20,-93
21,-109
22,-100
23,-101
24,-110
25,-96
26,-105
27,-108
28,-102
29,-113
30,-118
31,-114
32,-116
33,-115
34,-110
35,-110
36,-86
37,-95
38,-117
39,-114
40,-102
41,-110
42,-109
43,-105
44,-103
45,-106
46,-117
47,-125
48,-112
49,-94
50,-98
51,-110
52,-111
53,-110
54,-113
55,-110
56,-111
57,-98
58,-100
59,-96
60,-99
61,-113
62,-89
63,-103
64,-96
65,-103
66,-94
67,-109
68,-109
69,-98
70,-98
71,-87
72,-92
73,-110
74,-103
75,-97
76,-110
77,-103
78,-108
79,-107
80,-99
81,-78
82,-85
83,-110
84,-99
85,-114
86,-113
87,-108
88,-86
89,-110
90,-117
91,-82
92,-92
93,-87
94,-102
95,-81
96,-92
97,-96
98,-82
99,-93
100,-81
101,-104
102,-84
103,-91
104,-95
105,-79
106,-80
107,-94
108,-86
109,-104
110,-99
111,-95
112,-86
113,-97
114,-94
115,-83
116,-102
117,-78
118,-90
119,-85
120,-88
121,-98
122,-89
123,-96
124,-101
125,-96
126,-86
127,-64
128,-91
129,-72
130,-97
131,-74
132,-57
133,-76
134,-67
135,-71
136,-77
137,-83
138,-81
139,-79
140,-82
141,-79
142,-70
143,-78
144,-68
145,-81
146,-77
147,-58
148,-69
149,-61
150,-73
151,-63
152,-63
153,-85
154,-79
155,-56
156,-80
157,-67
158,-56
159,-66
160,-65
161,-67
162,-77
163,-54
164,-53
165,-69
166,-43
167,-63
168,-82
169,-65
170,-71
171,-63
172,-55
173,-70
174,-86
175,-65
176,-57
177,-61
178,-76
179,-66
180,-76
181,-62
182,-65
183,-66
184,-63
185,-71
186,-73
187,-66
188,-62
189,-55
190,-62
191,-66
192,-61
193,-68
194,-53
195,-50
196,-59
197,-68
198,-43
199,-28
200,-44
201,-27
202,-40
203,-59
204,-64
205,-61
206,-70
207,-72
208,-46
209,-63
210,-61
211,-62
212,-61
213,-43
214,-48
215,-21
216,-42
217,-18
218,-23
219,-34
220,-27
221,-44
222,-51
223,-65
224,-65
225,-65
226,-67
227,-54
228,-60
229,-54
230,-47
231,-52
232,-43
233,-46
234,-51
235,-39
236,-22
237,-48
238,-41
239,-47
240,-46
241,-48
242,-69
243,-49
244,-47
245,-51
246,-39
247,-41
248,-37
249,-29
250,-41
251,-42
252,-38
253,-51
254,-51
255,-50
256,-48
257,-45
258,-62
259,-72
260,-68
261,-76
262,-78
263,-66
264,-59
265,-69
266,-71
267,-64
268,-70
269,-62
270,-68
271,-78
272,-70
273,-78
274,-68
275,-83
276,-79
277,-59
278,-85
279,-73
280,-90
281,-88
282,-92
283,-113
284,-107
285,-111
286,-101
287,-110
288,-100
289,-104
290,-107
291,-109
292,-112
293,-99
294,-111
295,-91
296,-110
297,-110
298,-104
299,-119
300,-110
301,-106
302,-99
303,-126
304,-119
305,-99
306,-98
307,-115
308,-99
309,-113
310,-116
311,-104
312,-83
313,-85
314,-92
315,-94
316,-87
317,-73
318,-89
319,-79
320,-83
321,-69
322,-75
323,-82
324,-78
325,-106
326,-105
327,-106
328,-106
329,-120
330,-123
331,-111
332,-94
333,-100
334,-91
335,-61
336,-79
337,-50
338,-59
339,-65
340,-56
341,-40
342,-45
343,-52
344,-29
345,-58
346,-53
347,-67
348,-33
349,-20
350,-42
351,-11
352,-24
353,-24
354,-15
355,-31
356,-41
357,-19
358,-6
359,-22
360,-17
361,-34
362,-14
363,-38
364,-25
365,-11
366,-4
367,-12
368,-22
369,-25
370,-27
371,1
372,14
373,-3
374,0
375,-24
376,-36
377,-27
378,-35
379,-20
380,14
381,11
382,15
383,23
384,21
385,35
386,46
387,59
388,59
389,70
390,47
391,9
392,7
393,9
394,11
395,33
396,25
397,1
398,40
399,18
400,27
401,40
402,39
403,64
404,62
405,53
406,24
407,26
408,29
409,33
410,39
411,46
412,17
413,19
414,7
415,1
416,-12
417,-4
418,-25
419,-6
420,-14
421,-16
422,-6
423,-20
424,-8
425,-20
426,-35
427,-46
428,-45
429,-34
430,-30
431,1
432,-4
433,-3
434,-15
435,-27
436,-43
437,-34
438,-32
439,-33
440,-17
441,-33
442,-34
443,-31
444,-29
445,-36
446,-29
447,-19
448,-16
449,-17
450,-12
451,-6
452,-16
453,-7
454,-29
455,-19
456,-27
457,-25
458,-23
459,-18
460,-24
461,-47
462,-34
463,-26
464,-18
465,-30
466,-27
467,-42
468,-19
469,-21
470,-24
471,-29
472,-46
473,-20
474,-31
475,-8
476,-9
477,-29
478,-29
479,-20
480,-28
481,-61
482,-53
483,-53
484,-80
485,-67
486,-69
487,-53
488,-67
489,-63
490,-45
491,-50
492,-40
493,-24
494,-20
495,-33
496,-36
497,-51
498,-49
499,-30
500,-34
501,-8
502,3
503,-46
504,-30
505,-49
506,-59
507,-43
508,-22
509,-33
510,-47
511,-47
512,-63
513,-47
514,-15
515,-15
516,-36
517,-8
518,-19
519,-31
520,-5
521,-40
522,-47
523,-38
524,-29
525,-52
526,-65
527,-68
528,-90
529,-63
530,-54
531,-54
532,-32
533,-31
534,-36
535,-33
536,2
537,4
538,19
539,17
540,3
541,1
542,-5
543,-13
544,3
545,19
546,5
547,14
548,13
549,13
550,2
551,10
552,14
553,-3
554,14
555,-8
556,-15
557,-34
558,-34
559,-22
560,-22
561,-34
562,-57
563,-70
564,-84
565,-95
566,-84
567,-76
568,-86
569,-101
570,-108
571,-120
572,-110
573,-114
574,-104
575,-105
576,-103
577,-118
578,-141
579,-165
580,-133
581,-129
582,-139
583,-129
584,-110
585,-115
586,-99
587,-108
588,-136
589,-140
590,-155
591,-175
592,-160
593,-159
594,-173
595,-181
596,-221
597,-198
598,-151
599,-154
600,-180
601,-158
602,-143
603,-175
604,-175
605,-176
606,-166
607,-182
608,-175
609,-188
610,-190
611,-204
612,-248
613,-230
614,-218
615,-201
616,-196
617,-215
618,-215
619,-210
620,-217
621,-218
622,-216
623,-245
624,-244
625,-222
626,-192
627,-222
628,-204
629,-186
630,-224
631,-227
632,-186
633,-203
634,-183
635,-170
636,-183
637,-198
638,-196
639,-234
640,-219
641,-233
642,-243
643,-243
644,-223
645,-197
646,-212
647,-190
648,-178
649,-192
650,-201
651,-181
652,-122
653,-148
654,-151
655,-158
656,-139
657,-112
658,-152
659,-97
660,-136
661,-155
662,-186
663,-185
664,-150
665,-141
666,-165
667,-187
668,-187
669,-194
670,-206
671,-134
672,-149
673,-146
674,-127
675,-141
676,-176
677,-167
678,-143
679,-112
680,-127
681,-141
682,-123
683,-136
684,-140
685,-154
686,-127
687,-123
688,-96
689,-130
690,-152
691,-190
692,-198
693,-153
694,-159
695,-136
696,-90
697,-83
698,-70
699,-86
700,-100
701,-45
702,-29
703,-73
704,-100
705,-117
706,-75
707,-90
708,-138
709,-97
710,-107
711,-123
712,-97
713,-53
714,-51
715,-25
716,-70
717,-72
718,-85
719,-72
720,-79
721,-104
722,-109
723,-136
724,-148
725,-83
726,-24
727,-75
728,-103
729,-97
730,-124
731,-90
732,-49
733,-43
734,-40
735,-51
736,-84
737,-118
738,-80
739,-93
740,-95
741,-88
742,-101
743,-125
744,-116
745,-118
746,-124
747,-116
748,-83
749,-113
750,-104
751,-90
752,-125
753,-112
754,-131
755,-143
756,-106
757,-131
758,-137
759,-113
760,-80
761,-102
762,-129
763,-81
764,-42
765,-12
766,10
767,-1
768,12
769,-49
770,-14
771,17
772,23
773,28
774,-21
775,-64
776,-71
777,-70
778,-42
779,21
780,-14
781,-67
782,-78
783,-66
784,-62
785,-62
786,-35
787,34
788,56
789,23
790,-27
791,-6
792,35
793,21
794,50
795,67
796,31
797,6
798,-39
799,-13
800,-25
801,-14
802,-14
803,-38
804,-117
805,-72
806,-57
807,-70
808,-17
809,20
810,13
811,4
812,-31
813,-32
814,-76
815,-45
816,-29
817,-52
818,-66
819,-84
820,-39
821,-38
822,-60
823,-82
824,-34
825,-44
826,-80
827,-58
828,-43
829,-16
830,16
831,-31
832,18
833,31
834,50
835,44
836,35
837,4
838,-22
839,0
840,3
841,-66
842,-56
843,8
844,2
845,-18
846,-27
847,-70
848,-79
849,1
850,-9
851,-69
852,-56
853,3
854,1
855,-41
856,-18
857,-25
858,-22
859,3
860,0
861,-31
862,-45
863,13
864,-47
865,-78
866,-81
867,-44
868,-8
869,-6
870,12
871,-45
872,-80
873,-66
874,-66
875,-48
876,-62
877,-62
878,-44
879,-81
880,-38
881,-42
882,-43
883,-37
884,-25
885,-169
886,-186
887,-144
888,-86
889,-45
890,-79
891,-77
892,-77
893,-86
894,-40
895,-17
896,-45
897,-15
898,19
899,6
900,11
901,-2
902,-24
903,-38
904,-94
905,-130
906,-126
907,-165
908,-108
909,-148
910,-156
911,-169
912,-196
913,-170
914,-95
915,-77
916,-107
917,-41
918,-72
919,-106
920,-98
921,-114
922,-120
923,-151
924,-148
925,-81
926,-132
927,-214
928,-197
929,-174
930,-147
931,-90
932,-152
933,-208
934,-237
935,-178
936,-214
937,-236
938,-165
939,-190
940,-221
941,-193
942,-210
943,-217
944,-106
945,-135
946,-116
947,-91
948,-54
949,-81
950,-111
951,-166
952,-145
953,-104
954,-94
955,-131
956,-228
957,-157
958,-196
959,-175
960,-145
961,-150
962,-71
963,-84
964,-243
965,-228
966,-98
967,-144
968,-106
969,-100
970,-139
971,-62
972,-73
973,-10
974,-65
975,9
976,15
977,-137
978,-20
979,-163
980,-250
981,-183
982,-100
983,-185
984,-114
985,-35
986,-178
987,-89
988,21
989,-69
990,-10
991,20
992,-15
993,69
994,-11
995,-30
996,-45
997,51
998,22
999,28
1000,1
1001,-103
1002,-115
1003,-125
1004,-137
1005,-146
1006,-137
1007,-8
1008,-17
1009,1
1010,-28
1011,-12
1012,-34
1013,49
1014,52
1015,85
1016,58
1017,11
1018,-18
1019,106
1020,22
1021,-59
1022,-69
1023,13
1024,59
1025,6
1026,18
1027,-163
1028,-156
1029,-2
1030,22
1031,-32
1032,-90
1033,-83
1034,-23
1035,-47
1036,-13
1037,-43
1038,40
1039,-6
1040,-42
1041,-12
1042,33
1043,3
1044,137
1045,69
1046,-15
1047,-72
1048,-54
1049,1
1050,-118
1051,-81
1052,-34
1053,-180
1054,-112
1055,-81
1056,11
1057,-115
1058,-118
1059,7
1060,-117
1061,-53
1062,-107
1063,-102
1064,-22
1065,2
1066,-83
1067,-41
1068,140
1069,-6
1070,-36
1071,17
1072,-29
1073,40
1074,-35
1075,-165
1076,-122
1077,-73
1078,-114
1079,-268
1080,-208
1081,-30
1082,-67
1083,-33
1084,10
1085,-35
1086,40
1087,-8
1088,-163
1089,-119
1090,-93
1091,-59
1092,-53
1093,-25
1094,-63
1095,-96
1096,-45
1097,10
1098,-98
1099,-196
1100,-67
1101,-132
1102,-207
1103,-153
1104,54
1105,72
1106,-25
1107,-90
1108,-45
1109,-49
1110,-101
1111,-54
1112,-129
1113,-143
1114,-37
1115,-111
1116,-52
1117,29
1118,-22
1119,92
1120,60
1121,-73
1122,-8
1123,22
1124,-67
1125,-150
1126,-150
1127,-139
1128,-140
1129,-211
1130,-108
1131,-25
1132,-152
1133,8
1134,81
1135,82
1136,187
1137,43
1138,50
1139,-50
1140,12
1141,61
1142,8
1143,100
1144,52
1145,0
1146,-36
1147,15
1148,-47
1149,-10
1150,176
1151,108
1152,-32
1153,-37
1154,20
1155,20
1156,-112
1157,18
1158,62
1159,-101
1160,-39
1161,-6
1162,-89
1163,-19
1164,-74
1165,-93
1166,70
1167,59
1168,-46
1169,-62
1170,-20
1171,31
1172,171
1173,81
1174,157
1175,34
1176,6
1177,42
1178,-166
1179,66
1180,19
1181,157
1182,110
1183,-32
1184,1
1185,-101
1186,-19
1187,27
1188,-55
1189,173
1190,-10
1191,74
1192,35
1193,92
